Start,End,Condition,Num,Id
0.0,26.2675,2,3,0
26.2675,26.40330000001192,2,3,1
26.40330000001192,31.98610000000894,2,3,0
31.98610000000894,32.48490000000596,2,3,5
32.48490000000596,42.09870000000298,2,3,0
42.09870000000298,42.482600000008944,2,3,1
42.482600000008944,119.78380000001192,2,3,0
119.78380000001192,120.12920000000298,2,3,5
120.12920000000298,127.72180000001192,2,3,0
127.72180000001192,128.5965,2,3,5
128.5965,164.16510000000895,2,3,0
164.16510000000895,164.28660000000895,2,3,4
164.28660000000895,164.65060000000895,2,3,3
164.65060000000895,165.59830000001193,2,3,4
165.59830000001193,168.089200000003,2,3,5
168.089200000003,217.00040000000595,2,3,0
217.00040000000595,217.36260000000894,2,3,5
217.36260000000894,218.689,2,3,0
218.689,218.80080000001192,2,3,5
218.80080000001192,220.919700000003,2,3,0
220.919700000003,221.37630000001192,2,3,1
221.37630000001192,235.93940000000595,2,3,0
235.93940000000595,236.08080000001192,2,3,1
236.08080000001192,236.334,2,3,2
236.334,237.59130000001193,2,3,3
237.59130000001193,237.73180000001193,2,3,4
237.73180000001193,237.890700000003,2,3,0
237.890700000003,238.05530000001193,2,3,3
238.05530000001193,434.0803000000119,2,3,0
434.0803000000119,434.518700000003,2,3,1
434.518700000003,435.115900000006,2,3,0
435.115900000006,435.25520000000296,2,3,1
