Start,End,Condition,Num,Status
2.98,3.427600000023842,2,1,speaker,konishi
3.427600000023842,5.202899999976158,2,1,bystander,konishi
5.202899999976158,7.375,2,1,speaker,konishi
7.375,9.4375,2,1,sideparticipant,konishi
9.4375,10.043799999952316,2,1,addressee,konishi
10.043799999952316,10.635,2,1,sideparticipant,konishi
10.635,11.761299999952318,2,1,speaker,konishi
11.761299999952318,15.629,2,1,sideparticipant,konishi
15.629,16.285999999999998,2,1,addressee,konishi
16.285999999999998,19.527699999928476,2,1,sideparticipant,konishi
19.527699999928476,20.250199999928476,2,1,addressee,konishi
20.250199999928476,21.63989999997616,2,1,speaker,konishi
21.63989999997616,29.00210000002384,2,1,sideparticipant,konishi
29.00210000002384,29.55060000002384,2,1,addressee,konishi
29.55060000002384,34.192499999999995,2,1,sideparticipant,konishi
34.192499999999995,35.814,2,1,speaker,konishi
35.814,42.23389999997615,2,1,sideparticipant,konishi
42.23389999997615,42.884799999952314,2,1,speaker,konishi
42.884799999952314,45.71560000002384,2,1,sideparticipant,konishi
45.71560000002384,48.09519999992847,2,1,speaker,konishi
48.09519999992847,51.31619999992847,2,1,sideparticipant,konishi
51.31619999992847,52.62239999997615,2,1,speaker,konishi
52.62239999997615,54.425299999952315,2,1,sideparticipant,konishi
54.425299999952315,56.43939999997615,2,1,speaker,konishi
56.43939999997615,59.253899999976156,2,1,sideparticipant,konishi
59.253899999976156,61.232899999976155,2,1,speaker,konishi
61.232899999976155,63.169299999952315,2,1,sideparticipant,konishi
63.169299999952315,64.35179999995232,2,1,speaker,konishi
64.35179999995232,76.4475,2,1,sideparticipant,konishi
76.4475,76.85219999992847,2,1,addressee,konishi
76.85219999992847,96.31729999995233,2,1,sideparticipant,konishi
96.31729999995233,97.2335,2,1,speaker,konishi
97.2335,98.71069999992848,2,1,sideparticipant,konishi
98.71069999992848,101.38410000002385,2,1,speaker,konishi
101.38410000002385,106.74929999995231,2,1,sideparticipant,konishi
106.74929999995231,107.31789999997616,2,1,addressee,konishi
107.31789999997616,108.13819999992847,2,1,sideparticipant,konishi
108.13819999992847,110.12979999995233,2,1,speaker,konishi
110.12979999995233,112.93760000002385,2,1,sideparticipant,konishi
112.93760000002385,114.38619999992848,2,1,speaker,konishi
114.38619999992848,115.48219999992848,2,1,sideparticipant,konishi
115.48219999992848,116.94979999995232,2,1,speaker,konishi
116.94979999995232,116.95439999997616,2,1,sideparticipant,konishi
116.95439999997616,117.64160000002384,2,1,addressee,konishi
117.64160000002384,120.19179999995232,2,1,sideparticipant,konishi
120.19179999995232,120.42819999992848,2,1,addressee,konishi
120.42819999992848,120.56710000002384,2,1,sideparticipant,konishi
120.56710000002384,120.82169999992848,2,1,addressee,konishi
120.82169999992848,121.50569999992848,2,1,sideparticipant,konishi
121.50569999992848,121.76519999992848,2,1,addressee,konishi
121.76519999992848,122.84229999995232,2,1,sideparticipant,konishi
122.84229999995232,122.9525,2,1,addressee,konishi
122.9525,124.2685,2,1,speaker,konishi
124.2685,125.77729999995232,2,1,sideparticipant,konishi
125.77729999995232,126.67810000002385,2,1,speaker,konishi
126.67810000002385,131.57910000002383,2,1,sideparticipant,konishi
131.57910000002383,132.30469999992846,2,1,addressee,konishi
132.30469999992846,142.22549999999998,2,1,sideparticipant,konishi
142.22549999999998,144.33260000002383,2,1,speaker,konishi
144.33260000002383,146.26889999997616,2,1,sideparticipant,konishi
146.26889999997616,147.6205,2,1,speaker,konishi
147.6205,150.01369999992846,2,1,sideparticipant,konishi
150.01369999992846,150.80560000002384,2,1,speaker,konishi
150.80560000002384,175.41439999997615,2,1,sideparticipant,konishi
175.41439999997615,179.94789999997616,2,1,bystander,konishi
179.94789999997616,184.29769999992845,2,1,sideparticipant,konishi
184.29769999992845,191.70560000002382,2,1,bystander,konishi
191.70560000002382,191.83469999992846,2,1,sideparticipant,konishi
191.83469999992846,192.88260000002384,2,1,speaker,konishi
192.88260000002384,199.68860000002383,2,1,sideparticipant,konishi
199.68860000002383,200.541,2,1,speaker,konishi
200.541,201.43810000002384,2,1,sideparticipant,konishi
201.43810000002384,201.58889999997615,2,1,addressee,konishi
201.58889999997615,202.43010000002383,2,1,sideparticipant,konishi
202.43010000002383,202.68169999992847,2,1,addressee,konishi
202.68169999992847,206.77989999997615,2,1,sideparticipant,konishi
206.77989999997615,208.10129999995232,2,1,speaker,konishi
208.10129999995232,211.15860000002382,2,1,sideparticipant,konishi
211.15860000002382,213.66739999997614,2,1,speaker,konishi
