Start,End,Condition,Num,Status
3.27,23.640800000071525,2,0,sideparticipant,yokoyama
23.640800000071525,27.110800000071524,2,0,speaker,yokoyama
27.110800000071524,36.11240000009537,2,0,sideparticipant,yokoyama
36.11240000009537,40.176,2,0,speaker,yokoyama
40.176,52.21980000007153,2,0,sideparticipant,yokoyama
52.21980000007153,57.33980000007153,2,0,speaker,yokoyama
57.33980000007153,69.12860000002384,2,0,sideparticipant,yokoyama
69.12860000002384,72.14660000002384,2,0,addressee,yokoyama
72.14660000002384,105.49220000004767,2,0,sideparticipant,yokoyama
105.49220000004767,120.96360000002383,2,0,addressee,yokoyama
120.96360000002383,124.23920000004767,2,0,sideparticipant,yokoyama
124.23920000004767,129.3372000000477,2,0,addressee,yokoyama
129.3372000000477,132.33100000000002,2,0,sideparticipant,yokoyama
132.33100000000002,159.57790000009538,2,0,addressee,yokoyama
159.57790000009538,164.79090000009538,2,0,sideparticipant,yokoyama
164.79090000009538,166.40710000002386,2,0,addressee,yokoyama
166.40710000002386,171.0197000000477,2,0,sideparticipant,yokoyama
171.0197000000477,172.523,2,0,addressee,yokoyama
172.523,180.1377000000477,2,0,sideparticipant,yokoyama
180.1377000000477,185.08610000002386,2,0,addressee,yokoyama
185.08610000002386,188.529,2,0,sideparticipant,yokoyama
188.529,193.7372000000477,2,0,addressee,yokoyama
193.7372000000477,195.47310000002386,2,0,sideparticipant,yokoyama
195.47310000002386,203.63600000000002,2,0,addressee,yokoyama
203.63600000000002,205.2435,2,0,sideparticipant,yokoyama
205.2435,208.44880000007154,2,0,addressee,yokoyama
208.44880000007154,209.93860000002385,2,0,sideparticipant,yokoyama
209.93860000002385,211.5772000000477,2,0,addressee,yokoyama
211.5772000000477,213.27390000009538,2,0,sideparticipant,yokoyama
213.27390000009538,230.1792000000477,2,0,speaker,yokoyama
230.1792000000477,243.84210000002386,2,0,sideparticipant,yokoyama
243.84210000002386,245.77800000000002,2,0,addressee,yokoyama
245.77800000000002,249.74440000009537,2,0,sideparticipant,yokoyama
249.74440000009537,251.65160000002385,2,0,addressee,yokoyama
251.65160000002385,253.571,2,0,sideparticipant,yokoyama
253.571,258.2346000000238,2,0,addressee,yokoyama
258.2346000000238,266.3413000000715,2,0,sideparticipant,yokoyama
266.3413000000715,269.9795,2,0,addressee,yokoyama
269.9795,279.00790000009533,2,0,sideparticipant,yokoyama
279.00790000009533,280.92249999999996,2,0,addressee,yokoyama
280.92249999999996,282.8114000000954,2,0,sideparticipant,yokoyama
282.8114000000954,284.78570000004765,2,0,addressee,yokoyama
284.78570000004765,288.29360000002384,2,0,sideparticipant,yokoyama
288.29360000002384,289.9507000000477,2,0,addressee,yokoyama
289.9507000000477,291.50240000009535,2,0,sideparticipant,yokoyama
291.50240000009535,295.8782000000477,2,0,addressee,yokoyama
295.8782000000477,297.33320000004767,2,0,sideparticipant,yokoyama
297.33320000004767,298.76140000009536,2,0,addressee,yokoyama
298.76140000009536,300.21099999999996,2,0,sideparticipant,yokoyama
300.21099999999996,303.265,2,0,addressee,yokoyama
303.265,304.77910000002385,2,0,sideparticipant,yokoyama
304.77910000002385,306.2894000000953,2,0,addressee,yokoyama
306.2894000000953,309.36970000004766,2,0,sideparticipant,yokoyama
309.36970000004766,311.10140000009534,2,0,addressee,yokoyama
311.10140000009534,314.5733000000715,2,0,sideparticipant,yokoyama
314.5733000000715,316.39220000004764,2,0,addressee,yokoyama
316.39220000004764,320.04590000009534,2,0,sideparticipant,yokoyama
320.04590000009534,323.5768000000715,2,0,addressee,yokoyama
323.5768000000715,326.58070000004767,2,0,sideparticipant,yokoyama
326.58070000004767,330.7935,2,0,addressee,yokoyama
330.7935,336.495,2,0,sideparticipant,yokoyama
336.495,339.618,2,0,addressee,yokoyama
339.618,343.14280000007153,2,0,sideparticipant,yokoyama
343.14280000007153,347.0539000000953,2,0,addressee,yokoyama
347.0539000000953,356.1946000000238,2,0,sideparticipant,yokoyama
356.1946000000238,359.4971000000238,2,0,addressee,yokoyama
359.4971000000238,363.645,2,0,sideparticipant,yokoyama
363.645,366.28570000004765,2,0,addressee,yokoyama
366.28570000004765,368.9194000000953,2,0,sideparticipant,yokoyama
368.9194000000953,370.2722000000477,2,0,addressee,yokoyama
370.2722000000477,371.7126000000238,2,0,sideparticipant,yokoyama
371.7126000000238,374.78820000004765,2,0,addressee,yokoyama
374.78820000004765,388.33190000009535,2,0,sideparticipant,yokoyama
388.33190000009535,391.84160000002385,2,0,speaker,yokoyama
391.84160000002385,397.63670000004765,2,0,sideparticipant,yokoyama
397.63670000004765,399.0286000000238,2,0,addressee,yokoyama
399.0286000000238,400.50260000002385,2,0,sideparticipant,yokoyama
400.50260000002385,403.42360000002384,2,0,addressee,yokoyama
403.42360000002384,411.1921000000238,2,0,sideparticipant,yokoyama
411.1921000000238,412.8639000000953,2,0,addressee,yokoyama
412.8639000000953,414.62449999999995,2,0,sideparticipant,yokoyama
414.62449999999995,416.40940000009533,2,0,addressee,yokoyama
416.40940000009533,425.73949999999996,2,0,sideparticipant,yokoyama
425.73949999999996,427.3035,2,0,addressee,yokoyama
