Start,End,Condition,Num,Status
2.75,5.174900000005961,2,2,sideparticipant
5.174900000005961,5.893700000017882,2,2,speaker
5.893700000017882,9.112800000011921,2,2,sideparticipant
9.112800000011921,9.810500000000001,2,2,speaker
9.810500000000001,13.3505,2,2,sideparticipant
13.3505,15.74030000001192,2,2,speaker
15.74030000001192,25.02420000001788,2,2,sideparticipant
25.02420000001788,25.2625,2,2,bystander
25.2625,27.748800000011922,2,2,sideparticipant
27.748800000011922,29.674099999994038,2,2,speaker
29.674099999994038,36.88930000001192,2,2,sideparticipant
36.88930000001192,38.31440000000596,2,2,speaker
38.31440000000596,49.895400000005964,2,2,sideparticipant
49.895400000005964,51.42390000000596,2,2,speaker
51.42390000000596,55.77440000000596,2,2,sideparticipant
55.77440000000596,58.28570000001788,2,2,speaker
58.28570000001788,74.76290000000596,2,2,sideparticipant
74.76290000000596,77.05570000001788,2,2,speaker
77.05570000001788,87.81680000001192,2,2,sideparticipant
87.81680000001192,89.63040000000596,2,2,bystander
89.63040000000596,104.12340000000596,2,2,sideparticipant
104.12340000000596,104.72290000000596,2,2,bystander
104.72290000000596,106.25540000000596,2,2,speaker
106.25540000000596,122.10559999999404,2,2,sideparticipant
122.10559999999404,122.95459999999404,2,2,speaker
122.95459999999404,126.61370000001789,2,2,sideparticipant
126.61370000001789,127.79159999999403,2,2,speaker
127.79159999999403,140.2137000000179,2,2,sideparticipant
140.2137000000179,141.05120000001787,2,2,speaker
141.05120000001787,142.17680000001192,2,2,sideparticipant
142.17680000001192,143.88509999999403,2,2,speaker
143.88509999999403,153.01409999999404,2,2,sideparticipant
153.01409999999404,157.39290000000597,2,2,bystander
157.39290000000597,158.669,2,2,speaker
158.669,158.7628000000119,2,2,bystander
158.7628000000119,159.69209999999404,2,2,sideparticipant
159.69209999999404,168.78880000001192,2,2,bystander
168.78880000001192,169.145,2,2,sideparticipant
169.145,171.39909999999404,2,2,speaker
171.39909999999404,172.43809999999405,2,2,sideparticipant
172.43809999999405,175.9545,2,2,speaker
175.9545,178.85240000000596,2,2,sideparticipant
178.85240000000596,182.756,2,2,speaker
182.756,200.87440000000595,2,2,sideparticipant
200.87440000000595,202.61809999999403,2,2,speaker
202.61809999999403,221.041,2,2,sideparticipant
221.041,225.21240000000597,2,2,speaker
225.21240000000597,230.3485,2,2,sideparticipant
230.3485,232.00240000000596,2,2,speaker
232.00240000000596,233.2183000000119,2,2,sideparticipant
233.2183000000119,234.23309999999404,2,2,speaker
234.23309999999404,245.00540000000595,2,2,sideparticipant
245.00540000000595,246.45240000000595,2,2,speaker
246.45240000000595,274.593900000006,2,2,sideparticipant
274.593900000006,274.9165,2,2,addressee
274.9165,291.9345,2,2,sideparticipant
291.9345,294.44859999999403,2,2,speaker
294.44859999999403,296.1302000000179,2,2,sideparticipant
296.1302000000179,298.425900000006,2,2,speaker
298.425900000006,300.1477000000179,2,2,sideparticipant
300.1477000000179,301.11280000001193,2,2,speaker
301.11280000001193,311.15059999999403,2,2,sideparticipant
311.15059999999403,312.427,2,2,speaker
312.427,318.38180000001194,2,2,sideparticipant
318.38180000001194,319.4643000000119,2,2,speaker
319.4643000000119,322.74240000000594,2,2,sideparticipant
322.74240000000594,325.0145,2,2,speaker
325.0145,339.46059999999403,2,2,sideparticipant
339.46059999999403,341.27130000001193,2,2,speaker
341.27130000001193,349.69859999999403,2,2,sideparticipant
349.69859999999403,350.6687000000179,2,2,speaker
350.6687000000179,355.52059999999403,2,2,sideparticipant
355.52059999999403,357.0348000000119,2,2,speaker
357.0348000000119,374.359,2,2,sideparticipant
374.359,376.3717000000179,2,2,speaker
376.3717000000179,385.64170000001786,2,2,sideparticipant
385.64170000001786,386.5932000000179,2,2,speaker
386.5932000000179,402.45870000001787,2,2,sideparticipant
402.45870000001787,404.31020000001786,2,2,speaker
404.31020000001786,405.5437000000179,2,2,sideparticipant
405.5437000000179,408.07940000000593,2,2,speaker
408.07940000000593,412.7562000000179,2,2,sideparticipant
412.7562000000179,413.2085,2,2,speaker
413.2085,425.5465,2,2,sideparticipant
425.5465,425.9837000000179,2,2,addressee
425.9837000000179,426.68640000000596,2,2,sideparticipant
426.68640000000596,426.78159999999406,2,2,addressee
426.78159999999406,427.72259999999403,2,2,speaker
427.72259999999403,427.83340000000595,2,2,sideparticipant
427.83340000000595,436.35190000000597,2,2,bystander
436.35190000000597,437.301,2,2,speaker
437.301,437.5542000000179,2,2,bystander
437.5542000000179,438.773599999994,2,2,sideparticipant
