"Start","End","Condition","Num","Id"
"0","110.38679999999702","2","1","0"
"110.38679999999702","110.46019999999926","2","1","1"
"110.46019999999926","110.53739999999851","2","1","2"
"110.53739999999851","111.3985","2","1","3"
"111.3985","111.614","2","1","2"
"111.614","111.72","2","1","1"
"111.72","112.8098999999985","2","1","0"
"112.8098999999985","113.78379999999702","2","1","5"
"113.78379999999702","156.39329999999703","2","1","0"
"156.39329999999703","156.56059999999778","2","1","1"
"156.56059999999778","185.59029999999703","2","1","0"
"185.59029999999703","186.77289999999851","2","1","5"
"186.77289999999851","186.896299999997","2","1","0"
"186.896299999997","189.22179999999702","2","1","5"
"189.22179999999702","291.8145","2","1","0"
"291.8145","292.510799999997","2","1","1"
"292.510799999997","293.32429999999704","2","1","0"
"293.32429999999704","293.46019999999925","2","1","1"
"293.46019999999925","336.467","2","1","0"
"336.467","337.29389999999853","2","1","5"
