Start,End,Condition,Num,Id
-3.28,11.465300000000745,1,0,0,tanokashira
11.465300000000745,11.630100000001491,1,0,1,tanokashira
11.630100000001491,11.923300000000745,1,0,2,tanokashira
11.923300000000745,12.057400000002236,1,0,1,tanokashira
12.057400000002236,12.481,1,0,2,tanokashira
12.481,13.658900000002236,1,0,1,tanokashira
13.658900000002236,13.86610000000149,1,0,2,tanokashira
13.86610000000149,14.337400000002235,1,0,1,tanokashira
14.337400000002235,33.63810000000149,1,0,0,tanokashira
33.63810000000149,34.319900000002235,1,0,3,tanokashira
34.319900000002235,34.405499999999996,1,0,4,tanokashira
34.405499999999996,34.47670000000298,1,0,3,tanokashira
34.47670000000298,34.698800000000745,1,0,4,tanokashira
34.698800000000745,34.70340000000223,1,0,3,tanokashira
34.70340000000223,35.345,1,0,4,tanokashira
35.345,35.52260000000149,1,0,5,tanokashira
35.52260000000149,71.57490000000223,1,0,0,tanokashira
71.57490000000223,73.51770000000298,1,0,1,tanokashira
73.51770000000298,176.46090000000223,1,0,0,tanokashira
176.46090000000223,176.65440000000223,1,0,5,tanokashira
176.65440000000223,331.468,1,0,0,tanokashira
331.468,331.581700000003,1,0,1,tanokashira
331.581700000003,332.104200000003,1,0,2,tanokashira
332.104200000003,332.4859000000023,1,0,3,tanokashira
332.4859000000023,332.7819000000023,1,0,2,tanokashira
332.7819000000023,332.8781000000015,1,0,1,tanokashira
332.8781000000015,345.7448000000008,1,0,0,tanokashira
345.7448000000008,345.7515,1,0,5,tanokashira
345.7515,346.50350000000003,1,0,0,tanokashira
346.50350000000003,346.6063000000008,1,0,5,tanokashira
346.6063000000008,346.70700000000005,1,0,4,tanokashira
346.70700000000005,347.4284000000023,1,0,3,tanokashira
347.4284000000023,347.587700000003,1,0,4,tanokashira
347.587700000003,352.76790000000227,1,0,0,tanokashira
352.76790000000227,353.924200000003,1,0,5,tanokashira
