Start,End,Condition,Num,Count,LeftHand,RightHand,Mouth,Nod,GazeSpeeker
3.82,4.9246999999880785,0,3,99.5,false,false,false,false,false,sugiyama
4.9246999999880785,9.454300000011921,0,3,101,false,false,true,false,false,sugiyama
9.454300000011921,9.45780000001192,0,3,102.5,false,false,false,false,false,sugiyama
9.45780000001192,12.554800000011921,0,3,100,false,false,true,false,false,sugiyama
12.554800000011921,13.610899999976159,0,3,96,false,false,false,false,false,sugiyama
13.610899999976159,13.88980000001192,0,3,97.5,false,false,false,false,true,sugiyama
13.88980000001192,15.87530000001192,0,3,101.5,false,false,true,false,true,sugiyama
15.87530000001192,18.348699999988078,0,3,101,false,false,true,false,false,sugiyama
18.348699999988078,20.01069999998808,0,3,96.5,false,false,false,false,false,sugiyama
20.01069999998808,21.420800000011923,0,3,100,false,false,true,false,false,sugiyama
21.420800000011923,22.91239999997616,0,3,96,false,false,false,false,false,sugiyama
22.91239999997616,24.39230000001192,0,3,101,false,false,true,false,false,sugiyama
24.39230000001192,25.06339999997616,0,3,100,false,false,false,false,false,sugiyama
25.06339999997616,26.036899999976157,0,3,101,false,false,true,false,false,sugiyama
26.036899999976157,26.607099999964237,0,3,101,false,false,false,false,false,sugiyama
26.607099999964237,29.065399999976158,0,3,100,false,false,true,false,false,sugiyama
29.065399999976158,29.248399999976158,0,3,101.5,false,false,false,false,false,sugiyama
29.248399999976158,33.26380000001192,0,3,103,false,false,true,false,false,sugiyama
33.26380000001192,34.70609999996424,0,3,101.5,false,false,true,false,true,sugiyama
34.70609999996424,38.28630000001192,0,3,101,false,false,true,false,false,sugiyama
38.28630000001192,38.52569999998808,0,3,102,false,false,false,false,false,sugiyama
38.52569999998808,40.530099999964236,0,3,100,false,false,true,false,false,sugiyama
40.530099999964236,45.66959999996424,0,3,84.5,false,false,false,false,false,sugiyama
45.66959999996424,45.93480000001192,0,3,84,false,false,true,false,false,sugiyama
45.93480000001192,49.3215,0,3,73.5,false,false,false,false,false,sugiyama
49.3215,49.79939999997616,0,3,74,false,false,true,false,false,sugiyama
49.79939999997616,50.36519999998808,0,3,73.5,false,false,false,false,false,sugiyama
50.36519999998808,51.46559999996424,0,3,82,false,false,true,false,false,sugiyama
51.46559999996424,51.95419999998808,0,3,86,false,false,true,false,true,sugiyama
51.95419999998808,54.01989999997616,0,3,100,false,false,true,false,false,sugiyama
54.01989999997616,55.055,0,3,100,false,false,false,false,false,sugiyama
55.055,56.577300000011924,0,3,106.5,false,false,true,false,false,sugiyama
56.577300000011924,57.490399999976155,0,3,107,false,true,true,false,false,sugiyama
57.490399999976155,57.65980000001192,0,3,106.5,false,true,true,false,true,sugiyama
57.65980000001192,57.87939999997616,0,3,107,false,true,true,false,false,sugiyama
57.87939999997616,58.15080000001192,0,3,102,false,true,true,false,true,sugiyama
58.15080000001192,58.43630000001192,0,3,101.5,false,false,true,false,true,sugiyama
58.43630000001192,61.42280000001192,0,3,100,false,false,true,false,false,sugiyama
61.42280000001192,61.55819999998808,0,3,101.5,false,false,false,false,false,sugiyama
61.55819999998808,64.22819999998808,0,3,102,false,false,true,false,false,sugiyama
64.22819999998808,66.85780000001192,0,3,101.5,false,false,true,false,true,sugiyama
66.85780000001192,70.86559999996423,0,3,101,false,false,true,false,false,sugiyama
70.86559999996423,72.16199999999999,0,3,97,false,false,false,false,false,sugiyama
72.16199999999999,79.17059999996422,0,3,101,false,false,true,false,false,sugiyama
79.17059999996422,80.18609999996423,0,3,99,false,false,false,false,false,sugiyama
80.18609999996423,82.70680000001191,0,3,102,false,false,true,false,false,sugiyama
82.70680000001191,83.56669999998807,0,3,101.5,false,false,true,false,true,sugiyama
83.56669999998807,84.31939999997616,0,3,101,false,false,true,false,false,sugiyama
84.31939999997616,84.64009999996424,0,3,101,false,false,false,false,false,sugiyama
84.64009999996424,85.71259999996423,0,3,100,false,false,true,false,false,sugiyama
85.71259999996423,85.71739999997615,0,3,101,false,false,false,false,false,sugiyama
85.71739999997615,97.66509999996423,0,3,103,false,false,true,false,false,sugiyama
97.66509999996423,97.93830000001192,0,3,101.5,false,false,true,false,true,sugiyama
97.93830000001192,101.76680000001191,0,3,103,false,false,true,false,false,sugiyama
101.76680000001191,101.86039999997615,0,3,101.5,false,false,true,false,true,sugiyama
101.86039999997615,106.24789999997616,0,3,101,false,false,true,false,false,sugiyama
106.24789999997616,106.79019999998808,0,3,100.5,false,false,false,false,false,sugiyama
106.79019999998808,119.43309999996423,0,3,103,false,false,true,false,false,sugiyama
119.43309999996423,119.73819999998807,0,3,101.5,false,false,true,false,true,sugiyama
119.73819999998807,124.78589999997615,0,3,102,false,false,true,false,false,sugiyama
124.78589999997615,126.27669999998807,0,3,101.5,false,false,true,false,true,sugiyama
126.27669999998807,129.1815,0,3,101,false,false,true,false,false,sugiyama
129.1815,130.23389999997616,0,3,99.5,false,false,false,false,false,sugiyama
130.23389999997616,131.0855,0,3,101,false,false,true,false,false,sugiyama
131.0855,131.80369999998808,0,3,100,false,false,false,false,false,sugiyama
131.80369999998808,134.97289999997616,0,3,103,false,false,true,false,false,sugiyama
134.97289999997616,137.40780000001192,0,3,101.5,false,false,true,false,true,sugiyama
137.40780000001192,138.73539999997615,0,3,103,false,false,true,false,false,sugiyama
138.73539999997615,138.91819999998808,0,3,101.5,false,false,true,false,true,sugiyama
138.91819999998808,140.07930000001193,0,3,102,false,false,true,false,false,sugiyama
140.07930000001193,142.86089999997614,0,3,101.5,false,false,true,false,true,sugiyama
