Start,End,Condition,Num,Id
-1.55,1.4534999999999998,2,0,0,sei
1.4534999999999998,2.484,2,0,1,sei
2.484,59.8915,2,0,0,sei
59.8915,60.419399999976164,2,0,5,sei
60.419399999976164,72.94550000000001,2,0,0,sei
72.94550000000001,73.10089999997616,2,0,1,sei
73.10089999997616,106.66879999995231,2,0,0,sei
106.66879999995231,109.65210000002385,2,0,1,sei
109.65210000002385,110.97110000002384,2,0,3,sei
110.97110000002384,124.16489999997616,2,0,0,sei
124.16489999997616,124.47969999992847,2,0,1,sei
124.47969999992847,125.76510000002385,2,0,2,sei
125.76510000002385,126.113,2,0,1,sei
126.113,126.26719999992848,2,0,2,sei
126.26719999992848,126.43579999995232,2,0,1,sei
126.43579999995232,127.14469999992848,2,0,2,sei
127.14469999992848,127.34110000002384,2,0,1,sei
127.34110000002384,127.51169999992847,2,0,2,sei
127.51169999992847,128.11839999997613,2,0,1,sei
128.11839999997613,128.3045,2,0,2,sei
128.3045,129.61439999997614,2,0,1,sei
129.61439999997614,129.81919999992846,2,0,2,sei
129.81919999992846,130.021,2,0,0,sei
130.021,131.87339999997616,2,0,5,sei
131.87339999997616,132.02439999997614,2,0,4,sei
132.02439999997614,132.16919999992845,2,0,5,sei
132.16919999992845,133.02360000002383,2,0,4,sei
133.02360000002383,133.18460000002383,2,0,3,sei
133.18460000002383,133.33610000002383,2,0,1,sei
133.33610000002383,133.5037999999523,2,0,2,sei
133.5037999999523,135.76239999997614,2,0,1,sei
135.76239999997614,149.9147999999523,2,0,0,sei
149.9147999999523,150.60049999999998,2,0,1,sei
150.60049999999998,156.54619999992846,2,0,0,sei
156.54619999992846,157.6442999999523,2,0,1,sei
157.6442999999523,170.0537999999523,2,0,0,sei
170.0537999999523,170.22439999997616,2,0,1,sei
170.22439999997616,170.40110000002383,2,0,3,sei
170.40110000002383,171.34449999999998,2,0,0,sei
171.34449999999998,171.51939999997614,2,0,5,sei
171.51939999997614,172.20239999997614,2,0,0,sei
172.20239999997614,175.13660000002383,2,0,5,sei
175.13660000002383,181.05419999992847,2,0,0,sei
181.05419999992847,181.43369999992845,2,0,5,sei
181.43369999992845,182.16469999992847,2,0,4,sei
182.16469999992847,182.34619999992847,2,0,0,sei
182.34619999992847,183.72539999997613,2,0,1,sei
183.72539999997613,191.8642999999523,2,0,0,sei
191.8642999999523,193.3102999999523,2,0,1,sei
193.3102999999523,203.08639999997615,2,0,0,sei
203.08639999997615,203.95619999992846,2,0,1,sei
203.95619999992846,204.3747999999523,2,0,2,sei
204.3747999999523,204.58869999992845,2,0,3,sei
204.58869999992845,204.72389999997614,2,0,4,sei
204.72389999997614,205.1907999999523,2,0,5,sei
205.1907999999523,206.93339999997616,2,0,0,sei
206.93339999997616,207.4442999999523,2,0,1,sei
207.4442999999523,213.28839999997615,2,0,0,sei
213.28839999997615,214.86139999997616,2,0,1,sei
214.86139999997616,221.2277999999523,2,0,0,sei
221.2277999999523,221.86889999997615,2,0,2,sei
221.86889999997615,222.46539999997614,2,0,3,sei
222.46539999997614,222.65519999992847,2,0,4,sei
222.65519999992847,222.89439999997614,2,0,5,sei
222.89439999997614,223.3275,2,0,0,sei
223.3275,224.75239999997615,2,0,1,sei
224.75239999997615,226.04510000002384,2,0,0,sei
226.04510000002384,228.40560000002384,2,0,4,sei
228.40560000002384,228.95339999997614,2,0,5,sei
228.95339999997614,230.25819999992845,2,0,4,sei
230.25819999992845,231.84389999997614,2,0,1,sei
231.84389999997614,232.90099999999998,2,0,5,sei
232.90099999999998,233.94489999997614,2,0,0,sei
233.94489999997614,234.77889999997615,2,0,5,sei
234.77889999997615,234.93219999992846,2,0,4,sei
234.93219999992846,235.26189999997615,2,0,5,sei
235.26189999997615,243.62569999992846,2,0,0,sei
243.62569999992846,244.50769999992846,2,0,5,sei
244.50769999992846,245.78960000002382,2,0,0,sei
245.78960000002382,246.153,2,0,1,sei
246.153,248.0482999999523,2,0,0,sei
248.0482999999523,249.77419999992847,2,0,1,sei
249.77419999992847,253.28099999999998,2,0,0,sei
253.28099999999998,254.13319999992845,2,0,1,sei
254.13319999992845,259.2001999999285,2,0,0,sei
259.2001999999285,260.44039999997614,2,0,3,sei
260.44039999997614,261.39410000002385,2,0,5,sei
261.39410000002385,267.01139999997616,2,0,0,sei
267.01139999997616,268.0252999999523,2,0,1,sei
268.0252999999523,269.95239999997614,2,0,0,sei
269.95239999997614,270.2248999999762,2,0,5,sei
270.2248999999762,272.682,2,0,0,sei
272.682,274.4692999999523,2,0,1,sei
274.4692999999523,277.4176000000238,2,0,0,sei
277.4176000000238,278.5441999999285,2,0,1,sei
278.5441999999285,278.7622999999523,2,0,0,sei
278.7622999999523,279.1632999999523,2,0,1,sei
279.1632999999523,279.4857999999523,2,0,0,sei
279.4857999999523,279.9851000000238,2,0,1,sei
279.9851000000238,284.71789999997617,2,0,0,sei
284.71789999997617,285.92199999999997,2,0,5,sei
285.92199999999997,286.08510000002383,2,0,4,sei
286.08510000002383,286.27799999999996,2,0,2,sei
286.27799999999996,286.69079999995233,2,0,1,sei
286.69079999995233,287.08439999997614,2,0,2,sei
287.08439999997614,287.3233999999762,2,0,3,sei
287.3233999999762,287.52639999997615,2,0,2,sei
287.52639999997615,287.71769999992847,2,0,3,sei
287.71769999992847,295.72769999992846,2,0,1,sei
295.72769999992846,296.864,2,0,0,sei
296.864,297.09610000002385,2,0,5,sei
297.09610000002385,297.96960000002383,2,0,4,sei
297.96960000002383,298.3783999999761,2,0,3,sei
298.3783999999761,299.6895,2,0,4,sei
299.6895,300.5708999999761,2,0,5,sei
300.5708999999761,301.08369999992846,2,0,0,sei
301.08369999992846,303.0441999999285,2,0,1,sei
303.0441999999285,303.81469999992845,2,0,0,sei
303.81469999992845,304.5897999999523,2,0,5,sei
304.5897999999523,317.39660000002385,2,0,0,sei
317.39660000002385,320.54069999992845,2,0,1,sei
320.54069999992845,320.7496000000238,2,0,0,sei
320.7496000000238,320.972,2,0,5,sei
320.972,323.061,2,0,1,sei
323.061,323.23639999997613,2,0,2,sei
323.23639999997613,323.47569999992845,2,0,1,sei
323.47569999992845,325.18969999992845,2,0,2,sei
325.18969999992845,325.4706000000238,2,0,1,sei
325.4706000000238,330.7346000000238,2,0,0,sei
330.7346000000238,332.3321999999285,2,0,4,sei
332.3321999999285,332.5606999999285,2,0,5,sei
332.5606999999285,334.45839999997617,2,0,1,sei
334.45839999997617,334.80310000002385,2,0,2,sei
334.80310000002385,334.9752999999523,2,0,3,sei
334.9752999999523,335.6478999999761,2,0,4,sei
335.6478999999761,335.9966000000238,2,0,5,sei
