Start,End,Condition,Num,Status
-1.32,-1.156300000000745,0,2,speaker,tanokashira
-1.156300000000745,0.34450000000000003,0,2,sideparticipant,tanokashira
0.34450000000000003,2.085,0,2,speaker,tanokashira
2.085,5.317300000000745,0,2,sideparticipant,tanokashira
5.317300000000745,8.16260000000149,0,2,speaker,tanokashira
8.16260000000149,13.080300000000745,0,2,sideparticipant,tanokashira
13.080300000000745,14.874899999998508,0,2,speaker,tanokashira
14.874899999998508,15.021300000000746,0,2,sideparticipant,tanokashira
15.021300000000746,18.29210000000149,0,2,bystander,tanokashira
18.29210000000149,25.191800000000743,0,2,speaker,tanokashira
25.191800000000743,28.23160000000149,0,2,sideparticipant,tanokashira
28.23160000000149,29.323999999999998,0,2,speaker,tanokashira
29.323999999999998,32.76919999999925,0,2,sideparticipant,tanokashira
32.76919999999925,33.44139999999851,0,2,speaker,tanokashira
33.44139999999851,62.50160000000149,0,2,sideparticipant,tanokashira
62.50160000000149,63.652399999998515,0,2,speaker,tanokashira
63.652399999998515,68.682,0,2,sideparticipant,tanokashira
68.682,69.4856000000015,0,2,speaker,tanokashira
69.4856000000015,71.19200000000001,0,2,sideparticipant,tanokashira
71.19200000000001,75.59219999999927,0,2,speaker,tanokashira
75.59219999999927,78.98930000000075,0,2,sideparticipant,tanokashira
78.98930000000075,80.2035,0,2,speaker,tanokashira
80.2035,90.2681000000015,0,2,sideparticipant,tanokashira
90.2681000000015,91.38369999999927,0,2,speaker,tanokashira
91.38369999999927,97.5781000000015,0,2,sideparticipant,tanokashira
97.5781000000015,98.025,0,2,addressee,tanokashira
98.025,103.90830000000075,0,2,sideparticipant,tanokashira
103.90830000000075,104.9886000000015,0,2,speaker,tanokashira
104.9886000000015,118.7235,0,2,sideparticipant,tanokashira
118.7235,127.0871000000015,0,2,bystander,tanokashira
127.0871000000015,128.29850000000002,0,2,speaker,tanokashira
128.29850000000002,135.95719999999926,0,2,sideparticipant,tanokashira
135.95719999999926,137.30160000000149,0,2,speaker,tanokashira
137.30160000000149,179.11539999999852,0,2,sideparticipant,tanokashira
179.11539999999852,179.21550000000002,0,2,bystander,tanokashira
179.21550000000002,181.36519999999925,0,2,sideparticipant,tanokashira
181.36519999999925,182.5673999999985,0,2,speaker,tanokashira
182.5673999999985,189.02530000000075,0,2,sideparticipant,tanokashira
189.02530000000075,190.05230000000074,0,2,speaker,tanokashira
190.05230000000074,196.8608999999985,0,2,sideparticipant,tanokashira
196.8608999999985,199.17230000000075,0,2,speaker,tanokashira
199.17230000000075,207.3908999999985,0,2,sideparticipant,tanokashira
207.3908999999985,210.67080000000075,0,2,speaker,tanokashira
210.67080000000075,215.11730000000074,0,2,sideparticipant,tanokashira
215.11730000000074,217.64519999999925,0,2,speaker,tanokashira
217.64519999999925,218.72569999999925,0,2,sideparticipant,tanokashira
218.72569999999925,220.0501000000015,0,2,speaker,tanokashira
220.0501000000015,222.78980000000075,0,2,sideparticipant,tanokashira
222.78980000000075,224.8306000000015,0,2,speaker,tanokashira
224.8306000000015,236.75269999999927,0,2,sideparticipant,tanokashira
236.75269999999927,237.53400000000002,0,2,addressee,tanokashira
237.53400000000002,239.20139999999853,0,2,sideparticipant,tanokashira
239.20139999999853,239.65280000000075,0,2,speaker,tanokashira
239.65280000000075,241.87939999999853,0,2,sideparticipant,tanokashira
241.87939999999853,244.2955,0,2,speaker,tanokashira
244.2955,252.41750000000002,0,2,sideparticipant,tanokashira
252.41750000000002,253.62319999999926,0,2,speaker,tanokashira
253.62319999999926,254.234,0,2,sideparticipant,tanokashira
254.234,259.03189999999853,0,2,speaker,tanokashira
259.03189999999853,260.31539999999853,0,2,sideparticipant,tanokashira
260.31539999999853,262.1633999999985,0,2,speaker,tanokashira
262.1633999999985,266.7458999999985,0,2,sideparticipant,tanokashira
266.7458999999985,269.27219999999926,0,2,speaker,tanokashira
269.27219999999926,271.1316999999993,0,2,sideparticipant,tanokashira
271.1316999999993,272.6668999999985,0,2,speaker,tanokashira
272.6668999999985,274.28889999999853,0,2,sideparticipant,tanokashira
274.28889999999853,275.5451999999993,0,2,speaker,tanokashira
275.5451999999993,281.8591000000015,0,2,sideparticipant,tanokashira
281.8591000000015,283.6816000000015,0,2,speaker,tanokashira
283.6816000000015,286.05919999999924,0,2,sideparticipant,tanokashira
286.05919999999924,287.18,0,2,speaker,tanokashira
287.18,342.35930000000076,0,2,sideparticipant,tanokashira
342.35930000000076,385.57519999999926,0,2,bystander,tanokashira
385.57519999999926,386.8431999999993,0,2,sideparticipant,tanokashira
386.8431999999993,388.7568999999985,0,2,speaker,tanokashira
388.7568999999985,412.3643999999985,0,2,sideparticipant,tanokashira
412.3643999999985,412.51080000000076,0,2,addressee,tanokashira
412.51080000000076,416.52480000000077,0,2,sideparticipant,tanokashira
416.52480000000077,417.49030000000073,0,2,speaker,tanokashira
417.49030000000073,426.03519999999924,0,2,sideparticipant,tanokashira
426.03519999999924,427.43619999999925,0,2,addressee,tanokashira
