Start,End,Condition,Num,Status
0.0,0.5181999999880791,0,3,speaker
0.5181999999880791,5.451699999988079,0,3,sideparticipant
5.451699999988079,6.455199999988079,0,3,speaker
6.455199999988079,24.731099999964236,0,3,sideparticipant
24.731099999964236,26.742099999964235,0,3,speaker
26.742099999964235,35.715800000011924,0,3,sideparticipant
35.715800000011924,37.43,0,3,speaker
37.43,48.36859999996424,0,3,sideparticipant
48.36859999996424,50.89259999996424,0,3,speaker
50.89259999996424,55.61869999998808,0,3,sideparticipant
55.61869999998808,58.35439999997616,0,3,speaker
58.35439999997616,73.0115,0,3,sideparticipant
73.0115,75.20180000001191,0,3,speaker
75.20180000001191,82.66889999997616,0,3,sideparticipant
82.66889999997616,86.38369999998808,0,3,speaker
86.38369999998808,87.98780000001192,0,3,sideparticipant
87.98780000001192,90.76289999997616,0,3,speaker
90.76289999997616,99.09789999997616,0,3,sideparticipant
99.09789999997616,101.08530000001193,0,3,speaker
101.08530000001193,104.72280000001192,0,3,sideparticipant
104.72280000001192,105.81880000001192,0,3,speaker
105.81880000001192,116.56659999996424,0,3,sideparticipant
116.56659999996424,118.72639999997615,0,3,speaker
118.72639999997615,122.9705,0,3,sideparticipant
122.9705,124.32319999998808,0,3,speaker
124.32319999998808,135.62780000001192,0,3,sideparticipant
135.62780000001192,138.19869999998807,0,3,speaker
138.19869999998807,145.8815,0,3,sideparticipant
145.8815,148.5041999999881,0,3,speaker
148.5041999999881,180.77430000001192,0,3,sideparticipant
180.77430000001192,183.43009999996423,0,3,speaker
183.43009999996423,190.32989999997616,0,3,sideparticipant
190.32989999997616,192.12730000001193,0,3,speaker
192.12730000001193,193.93430000001192,0,3,sideparticipant
193.93430000001192,194.1868000000119,0,3,addressee
194.1868000000119,198.1473000000119,0,3,sideparticipant
198.1473000000119,202.80339999997616,0,3,speaker
202.80339999997616,211.36309999996425,0,3,sideparticipant
211.36309999996425,212.9991999999881,0,3,speaker
212.9991999999881,219.302,0,3,sideparticipant
219.302,219.40089999997616,0,3,addressee
219.40089999997616,225.22959999996425,0,3,sideparticipant
225.22959999996425,228.42880000001193,0,3,speaker
228.42880000001193,240.92559999996425,0,3,sideparticipant
240.92559999996425,248.059,0,3,speaker
248.059,250.1655,0,3,sideparticipant
250.1655,251.46769999998807,0,3,speaker
251.46769999998807,255.82089999997615,0,3,sideparticipant
255.82089999997615,255.9803000000119,0,3,addressee
255.9803000000119,319.62289999997614,0,3,sideparticipant
319.62289999997614,320.38989999997614,0,3,speaker
320.38989999997614,339.22080000001193,0,3,sideparticipant
339.22080000001193,339.98039999997616,0,3,speaker
339.98039999997616,349.73539999997615,0,3,sideparticipant
349.73539999997615,356.5131999999881,0,3,speaker
356.5131999999881,359.92509999996423,0,3,sideparticipant
359.92509999996423,360.06069999998806,0,3,addressee
360.06069999998806,362.7686999999881,0,3,sideparticipant
362.7686999999881,364.22309999996423,0,3,speaker
364.22309999996423,366.59309999996424,0,3,sideparticipant
366.59309999996424,368.3101999999881,0,3,speaker
368.3101999999881,376.1311999999881,0,3,sideparticipant
376.1311999999881,377.92709999996424,0,3,speaker
377.92709999996424,408.6643999999762,0,3,sideparticipant
408.6643999999762,408.85980000001194,0,3,addressee
408.85980000001194,414.41639999997614,0,3,sideparticipant
414.41639999997614,416.62189999997616,0,3,speaker
416.62189999997616,424.377,0,3,sideparticipant
424.377,427.55589999997613,0,3,speaker
427.55589999997613,433.0513999999762,0,3,sideparticipant
433.0513999999762,434.63769999998806,0,3,speaker
434.63769999998806,444.04389999997613,0,3,sideparticipant
444.04389999997613,446.07859999996424,0,3,speaker
446.07859999996424,449.57469999998807,0,3,sideparticipant
449.57469999998807,450.6213999999762,0,3,speaker
