Start,End,Condition,Num,Id
0.98,40.54479999995231,1,4,0
40.54479999995231,40.76379999995231,1,4,1
40.76379999995231,60.242,1,4,0
60.242,60.47289999985695,1,4,1
60.47289999985695,105.02720000004769,1,4,0
105.02720000004769,105.54729999995232,1,4,1
105.54729999995232,107.81620000004769,1,4,0
107.81620000004769,108.0565,1,4,1
108.0565,109.6165,1,4,0
109.6165,110.26770000004768,1,4,5
110.26770000004768,118.64309999990463,1,4,0
118.64309999990463,118.90839999985695,1,4,5
118.90839999985695,125.43209999990464,1,4,0
125.43209999990464,125.69829999995233,1,4,5
125.69829999995233,126.60670000004768,1,4,1
126.60670000004768,131.0252999999523,1,4,0
131.0252999999523,131.33509999990463,1,4,1
131.33509999990463,135.71920000004766,1,4,0
135.71920000004766,136.468,1,4,5
136.468,136.9837999999523,1,4,0
136.9837999999523,137.20820000004767,1,4,1
137.20820000004767,177.02789999985694,1,4,0
177.02789999985694,177.2452999999523,1,4,5
177.2452999999523,182.86309999990462,1,4,0
182.86309999990462,184.01139999985693,1,4,5
184.01139999985693,184.26570000004767,1,4,0
184.26570000004767,184.51120000004767,1,4,5
184.51120000004767,198.67520000004768,1,4,0
198.67520000004768,198.855,1,4,1
198.855,199.33939999985694,1,4,2
199.33939999985694,200.20809999990462,1,4,1
200.20809999990462,200.3697000000477,1,4,2
200.3697000000477,201.28120000004768,1,4,1
201.28120000004768,202.17189999985695,1,4,2
202.17189999985695,202.9570999999046,1,4,0
202.9570999999046,204.02659999990462,1,4,1
204.02659999990462,204.29649999999998,1,4,2
204.29649999999998,204.48409999990463,1,4,1
204.48409999990463,205.5607999999523,1,4,2
205.5607999999523,207.265,1,4,1
207.265,207.8715,1,4,0
207.8715,209.14220000004767,1,4,5
209.14220000004767,210.91420000004769,1,4,0
210.91420000004769,211.25509999990462,1,4,5
211.25509999990462,211.45939999985694,1,4,0
211.45939999985694,212.03009999990462,1,4,5
212.03009999990462,212.46679999995231,1,4,0
212.46679999995231,212.76909999990463,1,4,5
212.76909999990463,221.63199999999998,1,4,0
221.63199999999998,222.22639999985694,1,4,5
222.22639999985694,222.4272999999523,1,4,4
222.4272999999523,223.67609999990464,1,4,3
223.67609999990464,223.87949999999998,1,4,4
223.87949999999998,224.19839999985695,1,4,3
224.19839999985695,224.44989999985694,1,4,5
224.44989999985694,229.24859999990463,1,4,3
229.24859999990463,231.2757999999523,1,4,2
231.2757999999523,231.49909999990462,1,4,1
231.49909999990462,231.75709999990463,1,4,0
231.75709999990463,232.4412999999523,1,4,1
232.4412999999523,232.66809999990463,1,4,3
232.66809999990463,233.10789999985693,1,4,2
233.10789999985693,233.57559999990463,1,4,0
233.57559999990463,233.76589999985694,1,4,1
233.76589999985694,234.24170000004767,1,4,0
234.24170000004767,234.44559999990463,1,4,1
234.44559999990463,235.23999999999998,1,4,3
235.23999999999998,235.41089999985695,1,4,4
235.41089999985695,236.17509999990463,1,4,3
236.17509999990463,236.37349999999998,1,4,4
236.37349999999998,237.71839999985693,1,4,5
237.71839999985693,238.76479999995232,1,4,0
238.76479999995232,239.01020000004766,1,4,1
239.01020000004766,239.2720999999046,1,4,0
239.2720999999046,239.72659999990464,1,4,5
239.72659999990464,242.09509999990462,1,4,0
242.09509999990462,242.35129999995232,1,4,1
242.35129999995232,249.67989999985693,1,4,0
249.67989999985693,254.2362999999523,1,4,5
254.2362999999523,262.76750000000004,1,4,0
262.76750000000004,263.3615999999046,1,4,1
263.3615999999046,264.4492000000477,1,4,0
264.4492000000477,265.0042000000477,1,4,1
265.0042000000477,266.3602000000477,1,4,0
266.3602000000477,266.5602000000477,1,4,1
266.5602000000477,277.5495,1,4,0
277.5495,278.88639999985696,1,4,2
278.88639999985696,280.40500000000003,1,4,0
280.40500000000003,282.21929999995234,1,4,1
282.21929999995234,340.089899999857,1,4,0
340.089899999857,342.77439999985694,1,4,5
342.77439999985694,350.41589999985695,1,4,0
350.41589999985695,352.232,1,4,5
352.232,370.46479999995233,1,4,0
370.46479999995233,371.2200999999047,1,4,5
371.2200999999047,405.4657000000477,1,4,0
405.4657000000477,420.43279999995235,1,4,3
420.43279999995235,434.4290999999047,1,4,0
434.4290999999047,435.1415,1,4,1
