Start,End,Condition,Num,Status
-4.97,8.076399999976157,2,2,bystander,nishikawa
8.076399999976157,9.445399999976157,2,2,speaker,nishikawa
9.445399999976157,13.377300000011921,2,2,sideparticipant,nishikawa
13.377300000011921,13.59919999998808,2,2,addressee,nishikawa
13.59919999998808,17.20619999998808,2,2,speaker,nishikawa
17.20619999998808,36.95630000001192,2,2,sideparticipant,nishikawa
36.95630000001192,37.45169999998808,2,2,addressee,nishikawa
37.45169999998808,44.823600000023845,2,2,sideparticipant,nishikawa
44.823600000023845,46.191,2,2,speaker,nishikawa
46.191,87.20119999998808,2,2,sideparticipant,nishikawa
87.20119999998808,89.72569999998808,2,2,speaker,nishikawa
89.72569999998808,91.72089999997615,2,2,sideparticipant,nishikawa
91.72089999997615,94.81069999998807,2,2,speaker,nishikawa
94.81069999998807,104.51880000001192,2,2,sideparticipant,nishikawa
104.51880000001192,105.88860000002384,2,2,speaker,nishikawa
105.88860000002384,135.1446999999881,2,2,sideparticipant,nishikawa
135.1446999999881,140.51430000001193,2,2,bystander,nishikawa
140.51430000001193,142.83619999998808,2,2,speaker,nishikawa
142.83619999998808,147.56460000002383,2,2,sideparticipant,nishikawa
147.56460000002383,149.36610000002383,2,2,speaker,nishikawa
149.36610000002383,151.1505,2,2,sideparticipant,nishikawa
151.1505,152.57830000001192,2,2,speaker,nishikawa
152.57830000001192,156.0426999999881,2,2,sideparticipant,nishikawa
156.0426999999881,157.84389999997617,2,2,speaker,nishikawa
157.84389999997617,184.87339999997616,2,2,sideparticipant,nishikawa
184.87339999997616,187.3118000000119,2,2,speaker,nishikawa
187.3118000000119,195.01610000002384,2,2,sideparticipant,nishikawa
195.01610000002384,196.46039999997615,2,2,speaker,nishikawa
196.46039999997615,205.57669999998808,2,2,sideparticipant,nishikawa
205.57669999998808,207.4621999999881,2,2,speaker,nishikawa
207.4621999999881,232.5595,2,2,sideparticipant,nishikawa
232.5595,233.11239999997616,2,2,bystander,nishikawa
233.11239999997616,241.674,2,2,sideparticipant,nishikawa
241.674,243.62610000002385,2,2,speaker,nishikawa
243.62610000002385,273.0323999999761,2,2,sideparticipant,nishikawa
273.0323999999761,275.2906000000238,2,2,speaker,nishikawa
275.2906000000238,316.4388999999761,2,2,sideparticipant,nishikawa
316.4388999999761,317.3236000000238,2,2,speaker,nishikawa
317.3236000000238,323.3105,2,2,sideparticipant,nishikawa
323.3105,325.64549999999997,2,2,speaker,nishikawa
325.64549999999997,329.6983999999761,2,2,sideparticipant,nishikawa
329.6983999999761,331.6061000000238,2,2,speaker,nishikawa
331.6061000000238,337.0713999999761,2,2,sideparticipant,nishikawa
337.0713999999761,340.2406000000238,2,2,speaker,nishikawa
340.2406000000238,341.30899999999997,2,2,sideparticipant,nishikawa
341.30899999999997,344.40630000001187,2,2,speaker,nishikawa
344.40630000001187,348.2728999999761,2,2,sideparticipant,nishikawa
348.2728999999761,351.29160000002383,2,2,speaker,nishikawa
351.29160000002383,355.9968000000119,2,2,sideparticipant,nishikawa
355.9968000000119,356.2165,2,2,addressee,nishikawa
356.2165,372.349,2,2,sideparticipant,nishikawa
372.349,374.52319999998804,2,2,speaker,nishikawa
374.52319999998804,377.363,2,2,sideparticipant,nishikawa
377.363,379.2161999999881,2,2,speaker,nishikawa
379.2161999999881,380.6523999999761,2,2,sideparticipant,nishikawa
380.6523999999761,384.95989999997613,2,2,speaker,nishikawa
384.95989999997613,389.70639999997616,2,2,sideparticipant,nishikawa
389.70639999997616,392.0848000000119,2,2,speaker,nishikawa
392.0848000000119,406.9516000000238,2,2,sideparticipant,nishikawa
406.9516000000238,407.31949999999995,2,2,addressee,nishikawa
407.31949999999995,425.93539999997614,2,2,sideparticipant,nishikawa
425.93539999997614,426.6493000000119,2,2,addressee,nishikawa
426.6493000000119,427.12289999997614,2,2,sideparticipant,nishikawa
427.12289999997614,429.3213000000119,2,2,speaker,nishikawa
429.3213000000119,435.8478999999761,2,2,sideparticipant,nishikawa
435.8478999999761,437.6275,2,2,speaker,nishikawa
437.6275,439.00819999998805,2,2,sideparticipant,nishikawa
439.00819999998805,442.2423000000119,2,2,speaker,nishikawa
442.2423000000119,443.7493000000119,2,2,sideparticipant,nishikawa
443.7493000000119,445.38510000002384,2,2,speaker,nishikawa
