Start,End,Condition,Num,Status
-4.04,2.6611000000238416,1,2,sideparticipant,sugiyama
2.6611000000238416,3.882400000035763,1,2,speaker,sugiyama
3.882400000035763,6.780400000035763,1,2,sideparticipant,sugiyama
6.780400000035763,7.978400000035763,1,2,speaker,sugiyama
7.978400000035763,13.205100000023844,1,2,sideparticipant,sugiyama
13.205100000023844,14.90180000001192,1,2,speaker,sugiyama
14.90180000001192,21.849900000035763,1,2,sideparticipant,sugiyama
21.849900000035763,22.577400000035762,1,2,addressee,sugiyama
22.577400000035762,26.259700000047683,1,2,sideparticipant,sugiyama
26.259700000047683,27.928200000047685,1,2,speaker,sugiyama
27.928200000047685,35.101700000047686,1,2,sideparticipant,sugiyama
35.101700000047686,37.214,1,2,speaker,sugiyama
37.214,51.07190000003576,1,2,sideparticipant,sugiyama
51.07190000003576,54.79610000002384,1,2,speaker,sugiyama
54.79610000002384,56.032100000023846,1,2,sideparticipant,sugiyama
56.032100000023846,58.708,1,2,speaker,sugiyama
58.708,67.18549999999999,1,2,sideparticipant,sugiyama
67.18549999999999,69.181,1,2,speaker,sugiyama
69.181,80.45640000003576,1,2,sideparticipant,sugiyama
80.45640000003576,82.14790000003576,1,2,speaker,sugiyama
82.14790000003576,83.00260000002383,1,2,sideparticipant,sugiyama
83.00260000002383,83.51849999999999,1,2,addressee,sugiyama
83.51849999999999,94.65840000003575,1,2,sideparticipant,sugiyama
94.65840000003575,96.13790000003576,1,2,speaker,sugiyama
96.13790000003576,97.84190000003575,1,2,sideparticipant,sugiyama
97.84190000003575,99.05270000004768,1,2,speaker,sugiyama
99.05270000004768,107.47970000004767,1,2,sideparticipant,sugiyama
107.47970000004767,109.61270000004768,1,2,speaker,sugiyama
109.61270000004768,116.17880000001192,1,2,sideparticipant,sugiyama
116.17880000001192,119.44580000001191,1,2,speaker,sugiyama
119.44580000001191,128.2287000000477,1,2,sideparticipant,sugiyama
128.2287000000477,129.91080000001193,1,2,speaker,sugiyama
129.91080000001193,138.59710000002386,1,2,sideparticipant,sugiyama
138.59710000002386,141.47660000002384,1,2,speaker,sugiyama
141.47660000002384,146.13980000001192,1,2,sideparticipant,sugiyama
146.13980000001192,151.92640000003578,1,2,speaker,sugiyama
151.92640000003578,159.21110000002386,1,2,sideparticipant,sugiyama
159.21110000002386,160.84360000002386,1,2,speaker,sugiyama
160.84360000002386,199.35060000002386,1,2,sideparticipant,sugiyama
199.35060000002386,199.61360000002384,1,2,addressee,sugiyama
199.61360000002384,199.8552000000477,1,2,sideparticipant,sugiyama
199.8552000000477,200.10530000001194,1,2,addressee,sugiyama
200.10530000001194,200.5535,1,2,sideparticipant,sugiyama
200.5535,200.9725,1,2,addressee,sugiyama
200.9725,205.8717000000477,1,2,sideparticipant,sugiyama
205.8717000000477,206.11740000003576,1,2,addressee,sugiyama
206.11740000003576,206.35310000002386,1,2,sideparticipant,sugiyama
206.35310000002386,206.62630000001192,1,2,addressee,sugiyama
206.62630000001192,211.64060000002385,1,2,speaker,sugiyama
211.64060000002385,231.71910000002384,1,2,sideparticipant,sugiyama
231.71910000002384,232.16280000001194,1,2,addressee,sugiyama
232.16280000001194,233.97910000002386,1,2,speaker,sugiyama
233.97910000002386,271.40999999999997,1,2,sideparticipant,sugiyama
271.40999999999997,273.16410000002384,1,2,speaker,sugiyama
273.16410000002384,282.29049999999995,1,2,sideparticipant,sugiyama
282.29049999999995,284.68470000004766,1,2,speaker,sugiyama
284.68470000004766,313.5043000000119,1,2,sideparticipant,sugiyama
313.5043000000119,315.4378000000119,1,2,speaker,sugiyama
315.4378000000119,319.7342000000477,1,2,sideparticipant,sugiyama
319.7342000000477,321.24320000004764,1,2,speaker,sugiyama
321.24320000004764,355.0827000000477,1,2,sideparticipant,sugiyama
355.0827000000477,356.26430000001193,1,2,speaker,sugiyama
356.26430000001193,357.97440000003576,1,2,sideparticipant,sugiyama
357.97440000003576,359.1977000000477,1,2,speaker,sugiyama
359.1977000000477,372.13849999999996,1,2,sideparticipant,sugiyama
372.13849999999996,376.8243000000119,1,2,speaker,sugiyama
376.8243000000119,381.131,1,2,sideparticipant,sugiyama
381.131,382.22190000003576,1,2,addressee,sugiyama
382.22190000003576,394.131,1,2,sideparticipant,sugiyama
394.131,395.5618000000119,1,2,speaker,sugiyama
395.5618000000119,413.07399999999996,1,2,sideparticipant,sugiyama
413.07399999999996,415.28490000003575,1,2,speaker,sugiyama
415.28490000003575,416.9453000000119,1,2,sideparticipant,sugiyama
416.9453000000119,421.3975,1,2,speaker,sugiyama
421.3975,426.85290000003573,1,2,sideparticipant,sugiyama
426.85290000003573,427.09540000003574,1,2,addressee,sugiyama
427.09540000003574,435.35370000004764,1,2,sideparticipant,sugiyama
435.35370000004764,437.0359000000357,1,2,speaker,sugiyama
