"Start","End","Condition","Num","Status"
"0","0.006100000023841858","1","5","bystander"
"0.006100000023841858","1.5143000000119209","1","5","speaker"
"1.5143000000119209","12.492","1","5","sideparticipant"
"12.492","12.698600000023841","1","5","addressee"
"12.698600000023841","21.23730000001192","1","5","sideparticipant"
"21.23730000001192","22.11080000001192","1","5","speaker"
"22.11080000001192","31.634300000011923","1","5","sideparticipant"
"31.634300000011923","37.924600000023844","1","5","bystander"
"37.924600000023844","38.704600000023845","1","5","sideparticipant"
"38.704600000023845","39.58470000001788","1","5","speaker"
"39.58470000001788","43.826200000017884","1","5","sideparticipant"
"43.826200000017884","44.12160000002384","1","5","addressee"
"44.12160000002384","44.4225","1","5","sideparticipant"
"44.4225","46.88","1","5","speaker"
"46.88","55.36590000000596","1","5","sideparticipant"
"55.36590000000596","57.40190000000596","1","5","bystander"
"57.40190000000596","57.93180000001192","1","5","sideparticipant"
"57.93180000001192","59.38140000000596","1","5","speaker"
"59.38140000000596","60.66060000002384","1","5","sideparticipant"
"60.66060000002384","61.83730000001192","1","5","speaker"
"61.83730000001192","63.45820000001788","1","5","sideparticipant"
"63.45820000001788","70.00740000000596","1","5","speaker"
"70.00740000000596","75.89720000001788","1","5","sideparticipant"
"75.89720000001788","77.21530000001192","1","5","speaker"
"77.21530000001192","87.60040000000596","1","5","sideparticipant"
"87.60040000000596","90.52410000002384","1","5","speaker"
"90.52410000002384","129.44710000002385","1","5","sideparticipant"
"129.44710000002385","131.37660000002384","1","5","speaker"
"131.37660000002384","132.791","1","5","sideparticipant"
"132.791","134.704","1","5","speaker"
"134.704","135.36970000001787","1","5","sideparticipant"
"135.36970000001787","137.2565","1","5","speaker"
"137.2565","140.61990000000597","1","5","sideparticipant"
"140.61990000000597","143.11380000001193","1","5","speaker"
"143.11380000001193","148.59240000000597","1","5","sideparticipant"
"148.59240000000597","149.9598000000119","1","5","speaker"
"149.9598000000119","151.33970000001787","1","5","sideparticipant"
"151.33970000001787","155.736","1","5","speaker"
"155.736","156.669","1","5","sideparticipant"
"156.669","158.34910000002384","1","5","speaker"
"158.34910000002384","166.7695","1","5","sideparticipant"
"166.7695","176.24360000002383","1","5","bystander"
"176.24360000002383","179.28940000000597","1","5","sideparticipant"
"179.28940000000597","180.09510000002385","1","5","bystander"
"180.09510000002385","185.2195","1","5","sideparticipant"
"185.2195","193.70520000001787","1","5","bystander"
"193.70520000001787","194.68160000002385","1","5","speaker"
"194.68160000002385","195.60740000000595","1","5","bystander"
"195.60740000000595","204.3535","1","5","sideparticipant"
"204.3535","209.75990000000596","1","5","bystander"
"209.75990000000596","212.55570000001788","1","5","sideparticipant"
"212.55570000001788","213.4025","1","5","speaker"
"213.4025","233.28930000001193","1","5","sideparticipant"
"233.28930000001193","234.6287000000179","1","5","speaker"
"234.6287000000179","244.22510000002384","1","5","sideparticipant"
"244.22510000002384","245.7398000000119","1","5","speaker"
"245.7398000000119","251.45310000002385","1","5","sideparticipant"
"251.45310000002385","252.51330000001192","1","5","speaker"
"252.51330000001192","263.23490000000595","1","5","sideparticipant"
"263.23490000000595","264.5492000000179","1","5","addressee"
"264.5492000000179","265.5935","1","5","sideparticipant"
"265.5935","268.8633000000119","1","5","bystander"
"268.8633000000119","280.8931000000238","1","5","sideparticipant"
"280.8931000000238","282.9328000000119","1","5","speaker"
"282.9328000000119","288.596400000006","1","5","sideparticipant"
"288.596400000006","289.258","1","5","addressee"
"289.258","303.0012000000179","1","5","sideparticipant"
"303.0012000000179","304.38630000001194","1","5","speaker"
"304.38630000001194","326.61","1","5","sideparticipant"
"326.61","328.067900000006","1","5","speaker"
"328.067900000006","344.8496000000238","1","5","sideparticipant"
"344.8496000000238","347.36190000000596","1","5","speaker"
"347.36190000000596","348.697","1","5","sideparticipant"
"348.697","350.58670000001786","1","5","speaker"
"350.58670000001786","351.75460000002386","1","5","sideparticipant"
"351.75460000002386","353.83390000000594","1","5","speaker"
"353.83390000000594","373.3908000000119","1","5","sideparticipant"
"373.3908000000119","388.2467000000179","1","5","bystander"
"388.2467000000179","413.1626000000238","1","5","sideparticipant"
"413.1626000000238","413.3558000000119","1","5","addressee"
"413.3558000000119","415.631","1","5","sideparticipant"
"415.631","416.42160000002383","1","5","bystander"
"416.42160000002383","419.1415","1","5","sideparticipant"
"419.1415","420.1157000000179","1","5","bystander"
"420.1157000000179","425.39340000000595","1","5","sideparticipant"
"425.39340000000595","426.979","1","5","speaker"
"426.979","433.77620000001787","1","5","sideparticipant"
"433.77620000001787","436.29990000000595","1","5","speaker"
"436.29990000000595","439.09310000002387","1","5","sideparticipant"
"439.09310000002387","440.82180000001193","1","5","speaker"
"440.82180000001193","442.3312000000179","1","5","sideparticipant"
