"Start","End","Condition","Num","Status"
"0","0.38479999999701975","1","4","bystander"
"0.38479999999701975","1.4535","1","4","speaker"
"1.4535","7.3045","1","4","bystander"
"7.3045","8.51879999999702","1","4","speaker"
"8.51879999999702","10.76890000000596","1","4","bystander"
"10.76890000000596","14.043","1","4","speaker"
"14.043","16.065","1","4","sideparticipant"
"16.065","17.01609999999404","1","4","speaker"
"17.01609999999404","22.6775","1","4","sideparticipant"
"22.6775","23.67090000000596","1","4","speaker"
"23.67090000000596","37.497200000002984","1","4","sideparticipant"
"37.497200000002984","38.66370000000298","1","4","speaker"
"38.66370000000298","39.75770000000298","1","4","sideparticipant"
"39.75770000000298","41.1895","1","4","speaker"
"41.1895","43.963","1","4","sideparticipant"
"43.963","44.6815","1","4","addressee"
"44.6815","45.77540000000596","1","4","sideparticipant"
"45.77540000000596","52.092","1","4","speaker"
"52.092","54.09370000000298","1","4","sideparticipant"
"54.09370000000298","57.27829999999702","1","4","speaker"
"57.27829999999702","73.84340000000596","1","4","sideparticipant"
"73.84340000000596","75.09690000000596","1","4","speaker"
"75.09690000000596","76.0955","1","4","sideparticipant"
"76.0955","77.71429999999702","1","4","speaker"
"77.71429999999702","106.70320000000298","1","4","sideparticipant"
"106.70320000000298","107.99779999999701","1","4","speaker"
"107.99779999999701","115.06729999999702","1","4","sideparticipant"
"115.06729999999702","119.35540000000596","1","4","speaker"
"119.35540000000596","134.91890000000595","1","4","sideparticipant"
"134.91890000000595","147.38309999999404","1","4","bystander"
"147.38309999999404","150.03990000000596","1","4","sideparticipant"
"150.03990000000596","151.42959999999405","1","4","speaker"
"151.42959999999405","153.40840000000597","1","4","sideparticipant"
"153.40840000000597","155.11809999999403","1","4","speaker"
"155.11809999999403","160.59970000000297","1","4","sideparticipant"
"160.59970000000297","161.34820000000298","1","4","addressee"
"161.34820000000298","197.428799999997","1","4","sideparticipant"
"197.428799999997","199.40179999999702","1","4","speaker"
"199.40179999999702","200.517","1","4","sideparticipant"
"200.517","202.90529999999703","1","4","speaker"
"202.90529999999703","205.3845","1","4","sideparticipant"
"205.3845","207.12140000000596","1","4","speaker"
"207.12140000000596","214.90179999999702","1","4","sideparticipant"
"214.90179999999702","215.99190000000596","1","4","speaker"
"215.99190000000596","217.22729999999703","1","4","sideparticipant"
"217.22729999999703","218.80309999999403","1","4","speaker"
"218.80309999999403","220.133299999997","1","4","sideparticipant"
"220.133299999997","222.13109999999403","1","4","speaker"
"222.13109999999403","223.20420000000297","1","4","sideparticipant"
"223.20420000000297","226.33129999999701","1","4","speaker"
"226.33129999999701","238.39459999999403","1","4","sideparticipant"
"238.39459999999403","239.69809999999404","1","4","speaker"
"239.69809999999404","246.76629999999702","1","4","sideparticipant"
"246.76629999999702","247.6905","1","4","speaker"
"247.6905","256.17609999999405","1","4","sideparticipant"
"256.17609999999405","257.55729999999704","1","4","speaker"
"257.55729999999704","258.655700000003","1","4","sideparticipant"
"258.655700000003","262.18940000000595","1","4","speaker"
"262.18940000000595","289.54809999999407","1","4","sideparticipant"
"289.54809999999407","291.097700000003","1","4","speaker"
"291.097700000003","292.296400000006","1","4","sideparticipant"
"292.296400000006","294.46290000000596","1","4","speaker"
"294.46290000000596","299.50940000000594","1","4","sideparticipant"
"299.50940000000594","305.371700000003","1","4","speaker"
"305.371700000003","310.726799999997","1","4","sideparticipant"
"310.726799999997","313.77659999999406","1","4","speaker"
"313.77659999999406","321.988299999997","1","4","sideparticipant"
"321.988299999997","323.87","1","4","speaker"
"323.87","325.016099999994","1","4","sideparticipant"
"325.016099999994","326.421700000003","1","4","speaker"
"326.421700000003","370.27920000000296","1","4","sideparticipant"
"370.27920000000296","372.1765","1","4","speaker"
"372.1765","373.45440000000593","1","4","sideparticipant"
"373.45440000000593","379.84609999999407","1","4","speaker"
"379.84609999999407","382.087700000003","1","4","sideparticipant"
"382.087700000003","386.640700000003","1","4","speaker"
"386.640700000003","392.372200000003","1","4","sideparticipant"
"392.372200000003","394.32","1","4","speaker"
"394.32","400.369","1","4","sideparticipant"
"400.369","402.22290000000595","1","4","speaker"
