"Start","End","Condition","Num","Id"
"0","2.3354000000059605","2","2","0"
"2.3354000000059605","3.8487000000178813","2","2","1"
"3.8487000000178813","4.952099999994039","2","2","0"
"4.952099999994039","6.44459999999404","2","2","1"
"6.44459999999404","6.62290000000596","2","2","0"
"6.62290000000596","7.487700000017881","2","2","5"
"7.487700000017881","7.713700000017881","2","2","0"
"7.713700000017881","8.469700000017882","2","2","1"
"8.469700000017882","9.394599999994039","2","2","0"
"9.394599999994039","9.66259999999404","2","2","1"
"9.66259999999404","12.25880000001192","2","2","0"
"12.25880000001192","12.414","2","2","1"
"12.414","18.47270000001788","2","2","0"
"18.47270000001788","18.96040000000596","2","2","1"
"18.96040000000596","28.912200000017883","2","2","0"
"28.912200000017883","29.03890000000596","2","2","5"
"29.03890000000596","29.46009999999404","2","2","0"
"29.46009999999404","29.607","2","2","5"
"29.607","34.91130000001192","2","2","0"
"34.91130000001192","35.11409999999404","2","2","5"
"35.11409999999404","40.19620000001788","2","2","0"
"40.19620000001788","40.88190000000596","2","2","1"
"40.88190000000596","41.30390000000596","2","2","0"
"41.30390000000596","42.44","2","2","1"
"42.44","42.44380000001192","2","2","0"
"42.44380000001192","43.413","2","2","1"
"43.413","49.46820000001788","2","2","0"
"49.46820000001788","49.53080000001192","2","2","5"
"49.53080000001192","82.21580000001192","2","2","0"
"82.21580000001192","83.26320000001787","2","2","1"
"83.26320000001787","84.45870000001788","2","2","0"
"84.45870000001788","84.76609999999404","2","2","5"
"84.76609999999404","85.14170000001788","2","2","4"
"85.14170000001788","85.31720000001788","2","2","3"
"85.31720000001788","85.54270000001789","2","2","2"
"85.54270000001789","85.64859999999403","2","2","1"
"85.64859999999403","85.8005","2","2","2"
"85.8005","85.80380000001192","2","2","1"
"85.80380000001192","85.97640000000597","2","2","2"
"85.97640000000597","86.05520000001788","2","2","1"
"86.05520000001788","86.13690000000597","2","2","0"
"86.13690000000597","86.4125","2","2","5"
"86.4125","86.64120000001788","2","2","4"
"86.64120000001788","87.12380000001193","2","2","5"
"87.12380000001193","87.305","2","2","4"
"87.305","87.52480000001192","2","2","5"
"87.52480000001192","87.52720000001788","2","2","4"
"87.52720000001788","88.14520000001788","2","2","5"
"88.14520000001788","88.23370000001788","2","2","4"
"88.23370000001788","89.86920000001788","2","2","5"
"89.86920000001788","90.26320000001787","2","2","0"
"90.26320000001787","90.6835","2","2","1"
"90.6835","92.44909999999403","2","2","0"
"92.44909999999403","92.70509999999403","2","2","5"
"92.70509999999403","92.93170000001788","2","2","0"
"92.93170000001788","93.71770000001789","2","2","1"
"93.71770000001789","97.03459999999404","2","2","0"
"97.03459999999404","97.18180000001192","2","2","1"
"97.18180000001192","97.86340000000597","2","2","0"
"97.86340000000597","98.92590000000597","2","2","1"
"98.92590000000597","99.38640000000596","2","2","0"
"99.38640000000596","99.38930000001191","2","2","5"
"99.38930000001191","100.752","2","2","4"
"100.752","101.23759999999405","2","2","5"
"101.23759999999405","101.37320000001787","2","2","0"
"101.37320000001787","101.88359999999403","2","2","5"
"101.88359999999403","103.82040000000596","2","2","0"
"103.82040000000596","104.651","2","2","1"
"104.651","104.83830000001193","2","2","0"
"104.83830000001193","105.96559999999404","2","2","5"
"105.96559999999404","107.07790000000595","2","2","0"
"107.07790000000595","107.08040000000597","2","2","5"
"107.08040000000597","107.23670000001788","2","2","4"
"107.23670000001788","107.501","2","2","5"
"107.501","109.448","2","2","0"
"109.448","113.02740000000595","2","2","5"
"113.02740000000595","113.17959999999404","2","2","4"
"113.17959999999404","113.60759999999404","2","2","3"
"113.60759999999404","113.68340000000596","2","2","2"
"113.68340000000596","114.17720000001788","2","2","1"
"114.17720000001788","118.55940000000597","2","2","0"
"118.55940000000597","118.7765","2","2","5"
"118.7765","118.78070000001789","2","2","4"
"118.78070000001789","119.12540000000595","2","2","3"
"119.12540000000595","119.35540000000596","2","2","2"
"119.35540000000596","119.54490000000597","2","2","1"
"119.54490000000597","120.40659999999404","2","2","0"
"120.40659999999404","120.77120000001788","2","2","1"
"120.77120000001788","133.14270000001787","2","2","0"
"133.14270000001787","134.37459999999405","2","2","5"
"134.37459999999405","139.71959999999405","2","2","0"
"139.71959999999405","140.70020000001787","2","2","1"
"140.70020000001787","148.92120000001788","2","2","0"
"148.92120000001788","149.68359999999404","2","2","5"
"149.68359999999404","150.6445","2","2","0"
"150.6445","150.89080000001192","2","2","1"
"150.89080000001192","150.98209999999403","2","2","2"
"150.98209999999403","151.06090000000597","2","2","1"
"151.06090000000597","151.1293000000119","2","2","2"
"151.1293000000119","151.41380000001192","2","2","1"
"151.41380000001192","155.40040000000596","2","2","0"
"155.40040000000596","155.53740000000596","2","2","5"
"155.53740000000596","155.76220000001788","2","2","0"
"155.76220000001788","156.0128000000119","2","2","5"
"156.0128000000119","156.18590000000597","2","2","4"
"156.18590000000597","156.40559999999405","2","2","5"
"156.40559999999405","156.52059999999403","2","2","0"
"156.52059999999403","156.84530000001192","2","2","5"
"156.84530000001192","159.63480000001192","2","2","0"
"159.63480000001192","159.90359999999404","2","2","1"
"159.90359999999404","160.05720000001787","2","2","2"
"160.05720000001787","160.3595","2","2","3"
"160.3595","160.678","2","2","4"
"160.678","161.15030000001192","2","2","5"
"161.15030000001192","163.126","2","2","0"
"163.126","163.23970000001788","2","2","5"
"163.23970000001788","163.6225","2","2","4"
"163.6225","163.69590000000596","2","2","3"
"163.69590000000596","163.85080000001193","2","2","1"
"163.85080000001193","163.935","2","2","2"
"163.935","164.54970000001788","2","2","1"
