"Start","End","Condition","Num","Status"
"0","0.20239999997615815","2","5","speaker"
"0.20239999997615815","3.0256999999284746","2","5","bystander"
"3.0256999999284746","5.223599999904633","2","5","speaker"
"5.223599999904633","7.955699999928474","2","5","sideparticipant"
"7.955699999928474","9.705699999928475","2","5","speaker"
"9.705699999928475","9.937599999904632","2","5","sideparticipant"
"9.937599999904632","10.316199999928475","2","5","addressee"
"10.316199999928475","11.389599999904632","2","5","sideparticipant"
"11.389599999904632","14.453299999952316","2","5","speaker"
"14.453299999952316","17.778099999904633","2","5","sideparticipant"
"17.778099999904633","18.94809999990463","2","5","speaker"
"18.94809999990463","21.816699999928474","2","5","sideparticipant"
"21.816699999928474","26.273099999904634","2","5","speaker"
"26.273099999904634","28.261199999928476","2","5","sideparticipant"
"28.261199999928476","31.614799999952318","2","5","speaker"
"31.614799999952318","35.2085","2","5","sideparticipant"
"35.2085","35.35929999995231","2","5","addressee"
"35.35929999995231","38.30279999995231","2","5","sideparticipant"
"38.30279999995231","38.63469999992847","2","5","addressee"
"38.63469999992847","53.242699999928476","2","5","sideparticipant"
"53.242699999928476","55.369199999928476","2","5","speaker"
"55.369199999928476","64.69379999995232","2","5","sideparticipant"
"64.69379999995232","73.02629999995231","2","5","speaker"
"73.02629999995231","74.33029999995232","2","5","sideparticipant"
"74.33029999995232","76.59189999997616","2","5","speaker"
"76.59189999997616","82.34829999995232","2","5","sideparticipant"
"82.34829999995232","83.57909999990463","2","5","speaker"
"83.57909999990463","95.68229999995232","2","5","sideparticipant"
"95.68229999995232","97.21829999995232","2","5","speaker"
"97.21829999995232","104.86759999990463","2","5","sideparticipant"
"104.86759999990463","106.15179999995232","2","5","speaker"
"106.15179999995232","107.5985","2","5","sideparticipant"
"107.5985","109.32859999990464","2","5","speaker"
"109.32859999990464","111.694","2","5","sideparticipant"
"111.694","115.68389999997616","2","5","speaker"
"115.68389999997616","118.25779999995231","2","5","sideparticipant"
"118.25779999995231","124.90739999997616","2","5","speaker"
"124.90739999997616","129.61359999990464","2","5","sideparticipant"
"129.61359999990464","131.05809999990464","2","5","speaker"
"131.05809999990464","139.83219999992846","2","5","sideparticipant"
"139.83219999992846","143.0007999999523","2","5","speaker"
"143.0007999999523","149.3335","2","5","sideparticipant"
"149.3335","152.1052999999523","2","5","speaker"
"152.1052999999523","154.59069999992846","2","5","sideparticipant"
"154.59069999992846","157.36669999992847","2","5","speaker"
"157.36669999992847","186.7945","2","5","sideparticipant"
"186.7945","189.32039999997616","2","5","speaker"
"189.32039999997616","194.3192999999523","2","5","sideparticipant"
"194.3192999999523","197.85919999992848","2","5","speaker"
"197.85919999992848","199.02859999990463","2","5","sideparticipant"
"199.02859999990463","200.9872999999523","2","5","speaker"
"200.9872999999523","221.57489999997617","2","5","sideparticipant"
"221.57489999997617","221.76919999992847","2","5","addressee"
"221.76919999992847","223.5931999999285","2","5","sideparticipant"
"223.5931999999285","224.19669999992848","2","5","addressee"
"224.19669999992848","225.03409999990464","2","5","sideparticipant"
"225.03409999990464","228.34139999997615","2","5","speaker"
"228.34139999997615","247.89809999990464","2","5","sideparticipant"
"247.89809999990464","250.27659999990462","2","5","speaker"
"250.27659999990462","254.72229999995233","2","5","sideparticipant"
"254.72229999995233","258.2725999999046","2","5","speaker"
"258.2725999999046","262.01659999990466","2","5","sideparticipant"
"262.01659999990466","263.7701999999285","2","5","speaker"
"263.7701999999285","273.17379999995234","2","5","sideparticipant"
"273.17379999995234","277.7157999999523","2","5","speaker"
"277.7157999999523","284.4506999999285","2","5","sideparticipant"
"284.4506999999285","285.8495999999046","2","5","speaker"
"285.8495999999046","287.462","2","5","sideparticipant"
"287.462","290.7581999999285","2","5","speaker"
"290.7581999999285","304.9462999999523","2","5","sideparticipant"
"304.9462999999523","306.3208999999762","2","5","speaker"
"306.3208999999762","313.1566999999285","2","5","sideparticipant"
"313.1566999999285","315.6766999999285","2","5","speaker"
"315.6766999999285","322.4847999999523","2","5","sideparticipant"
"322.4847999999523","324.6876999999285","2","5","speaker"
"324.6876999999285","326.578","2","5","sideparticipant"
"326.578","328.6460999999046","2","5","speaker"
"328.6460999999046","332.8287999999523","2","5","sideparticipant"
"332.8287999999523","336.6876999999285","2","5","speaker"
"336.6876999999285","339.8815999999046","2","5","sideparticipant"
"339.8815999999046","340.5612999999523","2","5","addressee"
"340.5612999999523","348.7162999999523","2","5","sideparticipant"
"348.7162999999523","349.5792999999523","2","5","speaker"
"349.5792999999523","353.73839999997614","2","5","sideparticipant"
"353.73839999997614","358.84459999990463","2","5","speaker"
"358.84459999990463","371.20869999992846","2","5","sideparticipant"
"371.20869999992846","374.7707999999523","2","5","speaker"
"374.7707999999523","376.059","2","5","sideparticipant"
"376.059","378.519","2","5","speaker"
"378.519","381.93079999995234","2","5","sideparticipant"
"381.93079999995234","387.62109999990463","2","5","speaker"
"387.62109999990463","387.879","2","5","sideparticipant"
"387.879","388.15539999997617","2","5","addressee"
"388.15539999997617","388.87489999997615","2","5","sideparticipant"
"388.87489999997615","390.24169999992847","2","5","speaker"
"390.24169999992847","391.81289999997614","2","5","sideparticipant"
"391.81289999997614","400.71189999997614","2","5","speaker"
"400.71189999997614","423.5637999999523","2","5","sideparticipant"
"423.5637999999523","425.75739999997614","2","5","speaker"
"425.75739999997614","431.882","2","5","sideparticipant"
"431.882","434.4186999999285","2","5","speaker"
