"Start","End","Condition","Num","Id"
"0","158.96989999997615","1","3","0"
"158.96989999997615","163.63320000004768","1","3","5"
"163.63320000004768","244.0737000000477","1","3","0"
"244.0737000000477","245.60510000002384","1","3","5"
"245.60510000002384","253.1685","1","3","0"
"253.1685","255.85239999997617","1","3","1"
"255.85239999997617","329.27820000004766","1","3","0"
"329.27820000004766","330.78189999997613","1","3","5"
"330.78189999997613","383.83730000007154","1","3","0"
"383.83730000007154","385.5765","1","3","1"
